name,ring,quadrant,isNew,description
Datadog,Adopt,Tools,FALSE,"Datadog is an observability service for cloud-scale applications, providing monitoring of servers, databases, tools, and services, through a SaaS-based data analytics platform.</br>
<a href=""https://www.datadoghq.com/"">Website</a></br>"
Github Actions,Adopt,Tools,FALSE,"GitHub Actions is a continuous integration and continuous delivery (CI/CD) platform that allows you to automate your build, test, and deployment pipeline. You can create workflows that build and test every pull request to your repository, or deploy merged pull requests to production.</br>
GitHub Actions goes beyond just DevOps and lets you run workflows when other events happen in your repository. For example, you can run a workflow to automatically add the appropriate labels whenever someone creates a new issue in your repository.</br>
GitHub provides Linux, Windows, and macOS virtual machines to run your workflows, or you can host your own self-hosted runners in your own data center or cloud infrastructure.</br>
<a href=""https://docs.github.com/en/actions/learn-github-actions/understanding-github-actions"">Website</a></br>"
Terraform,Adopt,Tools,FALSE,"Apache Airflow is an open-source workflow management platform for data engineering pipelines.. Airflow uses directed acyclic graphs (DAGs) to manage workflow orchestration. Tasks and dependencies are defined in Python and then Airflow manages the scheduling and execution. DAGs can be run either on a defined schedule (e.g. hourly or daily) or based on external event triggers</br>
<a href=""https://airflow.apache.org/"">Website</a></br>"
Airflow,Adopt,Tools,FALSE,"Terraform is an open-source, infrastructure as code, software tool created by HashiCorp. Users define and provide data center infrastructure using a declarative configuration language known as HashiCorp Configuration Language (HCL), or optionally JSON.</br>
<a href=""https://www.terraform.io/"">Website</a></br>"
Jest,Adopt,Tools,FALSE,"Jest is a JavaScript testing framework designed to ensure correctness of any JavaScript codebase. It allows you to write tests with an approachable, familiar and feature-rich API that gives you results quickly. Jest is well-documented, requires little configuration and can be extended to match your requirements.</br>
<a href=""https://jestjs.io/"">Website</a></br>"
Vue Testing Library,Adopt,Tools,FALSE,"The @testing-library family of packages helps you test UI components in a user-centric way. Their philosophy is ´The more your tests resemble the way your software is used, the more confidence they can give you.´</br>
<a href=""https://testing-library.com/docs/vue-testing-library/intro/"">Website</a></br>"
Cypress,Adopt,Tools,FALSE,"Cypress.io is a user-friendly test automation tool for end-to-end testing, UI testing, regression suites, integration, and unit testing. It is simple to install and does not require any changes to your code. Cypress.io prides itself on writing tests quickly and in real-time as you build your web application.</br>
<a href=""https://www.cypress.io/"">Website</a></br>"
PostCSS,Adopt,Tools,FALSE,"PostCSS is a software development tool that uses JavaScript-based plugins to automate routine CSS operations. </br>
<a href=""https://postcss.org/"">Website</a></br>"
Figma,Adopt,Tools,FALSE,"Figma is a collaborative web application for interface design, with additional offline features enabled by desktop applications for macOS and Windows. The feature set of Figma focuses on user interface and user experience design, with an emphasis on real-time collaboration,[1] utilising a variety of vector graphics editor and prototyping tools.</br>
<a href="""">Website</a></br>"
msw,Adopt,Tools,FALSE,"Mock Service Worker (MSW) is a seamless REST/GraphQL API mocking library for browser and Node.js.</br>
<a href=""https://mswjs.io/"">Website</a></br>"
Lighthouse,Trial,Tools,FALSE,"Google Lighthouse is an open-source, automated tool for measuring the quality of web pages. It can be run against any web page, public or requiring authentication. Google Lighthouse audits performance, accessibility and search engine optimization of web pages. It also includes the ability to test progressive web applications for compliance with standards and best practices.</br>
<a href=""https://developer.chrome.com/docs/lighthouse/overview/"">Website</a></br>"
